Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
73,73,3/27/25,,SAS,W,124,116,,46,99,0.465,17,48,0.354,29,51,0.569,0.551,15,18,0.833,14,42,56,33,7,5,14,14,43,106,0.406,14,43,0.326,29,63,0.46,0.472,16,21,0.762,19,31,50,27,10,3,10,20
74,74,3/28/25,@,DET,L,122,133,,39,84,0.464,15,40,0.375,24,44,0.545,0.554,29,38,0.763,11,30,41,16,9,3,15,27,44,92,0.478,15,34,0.441,29,58,0.5,0.56,30,35,0.857,16,27,43,25,8,5,13,29
75,75,3/30/25,,LAC,W,127,122,,47,93,0.505,15,45,0.333,32,48,0.667,0.586,18,23,0.783,10,35,45,33,11,3,10,17,45,93,0.484,16,41,0.39,29,52,0.558,0.57,16,22,0.727,10,34,44,25,6,4,14,17
76,76,4/2/25,,NYK,W,124,105,,50,94,0.532,12,37,0.324,38,57,0.667,0.596,12,14,0.857,15,29,44,23,8,5,13,18,40,90,0.444,11,36,0.306,29,54,0.537,0.506,14,17,0.824,15,24,39,24,7,2,16,19
77,77,4/4/25,@,SAS,W,114,113,,41,87,0.471,22,51,0.431,19,36,0.528,0.598,10,14,0.714,7,37,44,31,6,4,17,13,41,94,0.436,16,48,0.333,25,46,0.543,0.521,15,19,0.789,9,35,44,27,9,4,12,15
78,78,4/6/25,,SAC,L,113,120,,46,88,0.523,10,38,0.263,36,50,0.72,0.58,11,19,0.579,13,26,39,31,11,5,16,17,44,82,0.537,14,33,0.424,30,49,0.612,0.622,18,22,0.818,8,31,39,25,10,3,17,14
79,79,4/8/25,,CHI,W,135,113,,51,100,0.51,25,50,0.5,26,50,0.52,0.635,8,13,0.615,16,29,45,35,13,3,13,15,41,86,0.477,15,43,0.349,26,43,0.605,0.564,16,19,0.842,12,33,45,26,9,3,20,15
80,80,4/10/25,@,IND,L,112,114,,43,98,0.439,17,37,0.459,26,61,0.426,0.526,9,13,0.692,11,39,50,24,6,3,11,16,43,93,0.462,14,41,0.341,29,52,0.558,0.538,14,20,0.7,10,36,46,28,3,11,10,16
81,81,4/11/25,@,NYK,W,108,102,,38,77,0.494,11,31,0.355,27,46,0.587,0.565,21,30,0.7,13,36,49,23,7,2,15,17,36,88,0.409,16,41,0.39,20,47,0.426,0.5,14,20,0.7,10,25,35,22,11,2,11,18
82,82,4/13/25,,IND,L,118,126,2OT,44,115,0.383,18,60,0.3,26,55,0.473,0.461,12,22,0.545,18,47,65,21,6,9,22,23,48,119,0.403,10,42,0.238,38,77,0.494,0.445,20,22,0.909,14,47,61,27,15,10,13,20
,,,,,64-18,9999,9217,,3652,7444,0.491,1303,3401,0.383,2349,4043,0.581,0.578,1392,1793,0.776,917,2806,3723,2304,670,350,1082,1487,3382,7454,0.454,1104,3075,0.359,2278,4379,0.52,0.528,1349,1732,0.779,947,2624,3571,2101,641,361,1189,1553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
