Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
71,71,3/23/25,@,POR,W,129,116,,48,88,0.545,23,50,0.46,25,38,0.658,0.676,10,14,0.714,11,27,38,31,6,6,9,14,43,88,0.489,19,47,0.404,24,41,0.585,0.597,11,16,0.688,11,27,38,24,6,3,12,11
72,72,3/24/25,@,SAC,W,113,95,,41,90,0.456,19,50,0.38,22,40,0.55,0.561,12,20,0.6,10,35,45,28,9,4,10,14,39,86,0.453,8,24,0.333,31,62,0.5,0.5,9,11,0.818,8,37,45,23,7,1,15,18
73,73,3/26/25,@,PHO,W,132,102,,45,89,0.506,22,52,0.423,23,37,0.622,0.629,20,22,0.909,11,37,48,33,8,7,11,18,36,87,0.414,13,41,0.317,23,46,0.5,0.489,17,21,0.81,11,27,38,22,7,3,14,18
74,74,3/29/25,@,SAS,W,121,111,,45,94,0.479,17,51,0.333,28,43,0.651,0.569,14,18,0.778,15,39,54,32,2,4,11,18,38,87,0.437,14,40,0.35,24,47,0.511,0.517,21,27,0.778,10,25,35,25,6,1,5,16
75,75,3/31/25,@,MEM,W,117,103,,39,96,0.406,21,62,0.339,18,34,0.529,0.516,18,19,0.947,12,42,54,30,4,3,13,11,41,92,0.446,11,44,0.25,30,48,0.625,0.505,10,16,0.625,5,40,45,21,9,3,11,16
76,76,4/2/25,,MIA,L,103,124,,39,87,0.448,12,43,0.279,27,44,0.614,0.517,13,16,0.813,19,24,43,24,3,6,13,17,43,83,0.518,14,30,0.467,29,53,0.547,0.602,24,27,0.889,11,23,34,28,9,2,5,13
77,77,4/4/25,,PHO,W,123,103,,45,87,0.517,14,39,0.359,31,48,0.646,0.598,19,22,0.864,10,39,49,28,1,4,7,13,41,93,0.441,12,37,0.324,29,56,0.518,0.505,9,11,0.818,11,29,40,24,7,2,8,15
78,78,4/6/25,,WAS,W,124,90,,48,98,0.49,24,52,0.462,24,46,0.522,0.612,4,6,0.667,25,37,62,33,6,5,14,9,35,86,0.407,12,45,0.267,23,41,0.561,0.477,8,10,0.8,11,21,32,21,5,3,10,10
79,79,4/8/25,@,NYK,W,119,117,OT,40,87,0.46,19,49,0.388,21,38,0.553,0.569,20,25,0.8,9,29,38,26,8,4,15,17,48,101,0.475,11,38,0.289,37,63,0.587,0.53,10,16,0.625,17,35,52,28,8,6,11,21
80,80,4/9/25,@,ORL,L,76,96,,32,82,0.39,7,40,0.175,25,42,0.595,0.433,5,6,0.833,9,34,43,20,5,5,16,11,37,91,0.407,16,45,0.356,21,46,0.457,0.495,6,8,0.75,12,37,49,23,5,3,10,9
81,81,4/11/25,,CHO,W,130,94,,49,95,0.516,23,51,0.451,26,44,0.591,0.637,9,12,0.75,10,42,52,35,9,8,10,11,36,93,0.387,15,40,0.375,21,53,0.396,0.468,7,10,0.7,12,36,48,25,7,4,17,14
82,82,4/13/25,,CHO,W,93,86,,35,90,0.389,14,45,0.311,21,45,0.467,0.467,9,13,0.692,15,34,49,22,12,6,13,14,32,85,0.376,11,39,0.282,21,46,0.457,0.441,11,18,0.611,18,33,51,23,10,4,17,16
,,,,,61-21,9534,8787,,3413,7382,0.462,1457,3955,0.368,1956,3427,0.571,0.561,1251,1565,0.799,933,2783,3716,2144,589,452,973,1303,3302,7331,0.45,1055,3041,0.347,2247,4290,0.524,0.522,1128,1451,0.777,878,2704,3582,1968,567,295,1048,1438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
